JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
1,11,9900000,9900000,2,1,
1,48,15000000,5541560,1,9,
1,60,275000000,217976815,1,9,
1,60,250000000,134853250,1,9,
0,60,70000000,69858202,2,9,
1,48,50000000,34191670,1,9,
1,12,6000000,6000000,2,9,
1,12,15000000,15000000,1,9,
1,120,135000000,126972907,1,0,
1,36,15000000,12940000,1,0,
0,10,35000000,26250000,5,0,
0,11,8500000,8500000,2,0,
1,120,95000000,89883381,1,0,
0,60,125000000,69589985,1,0,
1,72,75000000,56291610,1,0,
1,60,60000000,53268000,1,0,
1,60,76000000,41639940,1,0,
1,36,15000000,5606630,1,0,
1,12,125000000,113731250,1,0,
1,60,25000000,17999980,1,0,
1,12,82000000,77180000,1,0,
0,24,50000000,19166665,1,0,
1,43,275000000,181530407,1,0,
1,48,200000000,135881275,1,0,   
1,36,50000000,34777605,1,0,   
1,60,10000000,7333280,1,1,   
1,60,10000000,7980040,1,1,   
1,8,4900000,4900000,2,1,
1,60,30000000,26000000,1,1,
1,12,10000000,10000000,2,1,
1,12,10000000,4438313,1,1,
1,60,30000000,26450000,1,1,
1,12,30000000,20000000,5,1,
1,12,30000000,30000000,1,1,
1,60,10000000,7666620,1,1,
1,12,10000000,4331518,1,1,
1,5,4900000,4900000,#N/A,1,
1,11,24500000,24500000,1,1,
1,12,10000000,4758750,1,1,
1,36,30000000,7499955,1,1,
1,60,50000000,47499995,1,1,
1,8,10000000,10000000,2,1,
1,11,10000000,10000000,5,1,
1,12,30000000,30000000,1,1,
1,12,10000000,4108828,1,1,
0,10,20000000,13300000,5,1,
1,12,15000000,15000000,1,1,
1,11,19000000,19000000,2,1,
1,12,19000000,19000000,5,1,
1,12,57000000,57000000,1,1,
1,12,10000000,0,1,1,
1,36,30000000,19999980,1,1,
1,11,4900000,4900000,2,1,
1,11,15000000,15000000,1,1,
1,36,13000000,8666620,1,1,
1,60,25000000,22083310,1,1,
1,12,19600000,19600000,2,1,
1,11,29400000,29400000,1,1,
1,12,6400000,6400000,#N/A,1,
1,8,6500000,6500000,5,1,
1,12,6500000,6500000,1,1,
0,9,10000000,10000000,2,1,
0,12,25000000,25000000,1,1,
1,24,15000000,11250000,1,1,
1,12,4000000,4000000,2,1,
1,12,5000000,5000000,5,1,
1,12,15000000,15000000,1,1,
1,12,10000000,8632477,1,1,
1,24,15000000,625000,2,1,
1,12,40000000,40000000,1,1,
1,11,10000000,10000000,5,1,
