JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,,
L,11,9900000,9900000,"Natal 2023, THR 2024",1,,
L,48,15000000,5541560,Gaji,9,,
L,60,275000000,217976815,Gaji,9,,
L,60,250000000,134853250,Gaji,9,,
P,60,70000000,69858202,Sertifikat SHM NO18,9,,
L,48,50000000,34191670,Manfaat pensiun,9,,
L,12,6000000,6000000,Natal 2022,9,,
L,12,15000000,15000000,jasprod 2022,9,,
L,120,135000000,126972907,Gaji,0,,
L,36,15000000,12940000,Gaji,0,,
P,10,35000000,26250000,"Tunjangan Natal 2020, THR 2021 & Japrod 2020",0,,
P,11,8500000,8500000,Natal 2021,0,,
L,120,95000000,89883381,Gaji,0,,
P,60,125000000,69589985,Manfaat pensiun,0,,
L,72,75000000,56291610,Gaji,0,,
L,60,60000000,53268000,Kend rd 2 NoBPKB: H-07355682,0,,
L,60,76000000,41639940,Kend rd 4 BPKB No: H-04663794,0,,
L,36,15000000,5606630,Gaji,0,,
L ,12,125000000,113731250,Gaji,0,,
L,60,25000000,17999980,Gaji,0,,
L,12,82000000,77180000,HASIL USAHA DAGANG,0,,
P,24,50000000,19166665,Manfaat pensiun,0,,
L,43,275000000,181530407,Gaji,0,,
L,48,200000000,135881275,Gaji,0,,   
L,36,50000000,34777605,Manfaat pensiun,0,,   
L,60,10000000,7333280,Manfaat pensiun,1,,   
L,60,10000000,7980040,Kendrd 2 Honda Tahun 2018,1,,   
L,8,4900000,4900000,Natal 2023,1,,
L,60,30000000,26000000,Gaji,1,,
L,12,10000000,10000000,"Natal 2023, THR 2024",1,,
L,12,10000000,4438313,Gaji,1,,
L,60,30000000,26450000,Gaji,1,,
L,12,30000000,20000000,"THR 2023, Natal 2022, Cutan Maret 2024",1,,
L,12,30000000,30000000,Japrod 2023,1,,
L,60,10000000,7666620,Manfaat pensiun,1,,
L,12,10000000,4331518,Manfaat pensiun,1,,
L,5,4900000,4900000,Cutan Sept 2023,1,,
L,11,24500000,24500000,Japrod 2023,1,,
L,12,10000000,4758750,Gaji,1,,
L,36,30000000,7499955,Gaji,1,,
L,60,50000000,47499995,Gaji,1,,
L,8,10000000,10000000,Natal 2023,1,,
L,11,10000000,10000000,THR 2024,1,,
L,12,30000000,30000000,Japrod 2023,1,,
L,12,10000000,4108828,Gaji,1,,
P,10,20000000,13300000,"THR 2023, Cutan Sept 2023 dan Natal 2023",1,,
L,12,15000000,15000000,"Japrod 2023, THR 2024, Natal 2023",1,,
L,11,19000000,19000000,Natal 2023,1,,
L,12,19000000,19000000,THR 2024,1,,
L,12,57000000,57000000,Gaji,1,,
L,12,10000000,0,Gaji,1,,
L,36,30000000,19999980,Manfaat pensiun,1,,
L,11,4900000,4900000,Natal 2023,1,,
L,11,15000000,15000000,Japrod 2023,1,,
L,36,13000000,8666620,Kend rd 2 NoBPKB : G-3775128,1,,
L,60,25000000,22083310,Gaji,1,,
L,12,19600000,19600000,"Natal 2023, THR 2024",1,,
L,11,29400000,29400000,Japrod 2023,1,,
L,12,6400000,6400000,Cutan Sept 2023,1,,
L,8,6500000,6500000,THR 2024,1,,
L,12,6500000,6500000,Japrod 2023,1,,
P,9,10000000,10000000,"Natal 2023, cutan Sept 2023",1,,
P,12,25000000,25000000,"Japrod 2023, Natal 2023",1,,
L,24,15000000,11250000,Gaji,1,,
L,12,4000000,4000000,Natal 2023,1,,
L,12,5000000,5000000,THR 2024,1,,
L,12,15000000,15000000,Japrod 2023,1,,
L,12,10000000,8632477,jogoboyo,1,,
L,24,15000000,625000,pot gaji,1,,
L,12,40000000,40000000,"Japrod 2023, Natal 2023",1,,
L,11,10000000,10000000,THR 2024,1,,
L,36,20000000,13888840,pot gaji,1,,
L,36,15000000,2317000,Gaji,1,,
L,36,20000000,14999960,pot gaji,1,,
L,60,30000000,29000000,Gaji,1,,
L,60,50000000,48333332,Gaji,1,,
L,12,36000000,18000000,"Natal  2023, Cutan Juni 2023",1,,
L,10,18000000,18000000,THR 2024,1,,
